"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,461549658,1703552.0,6073363.0,5318.0,394903232.0,1552198.0,60573063.0,64552.0,59213.0,779.2,,,,All,,,,,,
China,120504,3602.0,4636.0,,103884.0,149.0,11984.0,8.0,84.0,3.0,160000000.0,111163.0,1439323776.0,Asia,11944.0,310467.0,9.0,3.0,,8.0
USA,81244936,25359.0,992302.0,901.0,56456450.0,174444.0,23796184.0,3726.0,243030.0,2968.0,967406638.0,2893828.0,334300023.0,North America,4.0,337.0,0.0,76.0,3.0,71182.0
India,42998938,2876.0,516103.0,98.0,42450055.0,3884.0,32780.0,8944.0,30647.0,368.0,779754156.0,555756.0,1403050615.0,Asia,33.0,2719.0,2.0,2.0,0.07,23.0
Brazil,29432274,50078.0,655649.0,323.0,27968811.0,130018.0,807814.0,8318.0,136814.0,3048.0,63776166.0,296459.0,215126183.0,South America,7.0,328.0,3.0,233.0,2.0,3755.0
France,23649615,116618.0,140440.0,146.0,22327945.0,66648.0,1181230.0,1855.0,360959.0,2144.0,246629975.0,3764257.0,65518893.0,Europe,3.0,467.0,0.0,1780.0,2.0,18029.0
UK,19820181,52822.0,163095.0,200.0,18429633.0,51258.0,1227453.0,253.0,289380.0,2381.0,489876300.0,7152332.0,68491825.0,Europe,3.0,420.0,0.0,771.0,3.0,17921.0
Germany,17567738,225387.0,126532.0,287.0,13714200.0,212800.0,3727006.0,2494.0,208546.0,1502.0,104701826.0,1242913.0,84239076.0,Europe,5.0,666.0,1.0,2676.0,3.0,44243.0
Russia,17412919,36678.0,361902.0,558.0,15704022.0,118372.0,1346995.0,2300.0,119233.0,2478.0,273400000.0,1872080.0,146040773.0,Europe,8.0,404.0,1.0,251.0,4.0,9223.0
Turkey,14600683,24614.0,96735.0,115.0,14213445.0,30553.0,290503.0,975.0,170012.0,1126.0,149168647.0,1736932.0,85880558.0,Asia,6.0,888.0,1.0,287.0,1.0,3383.0
Italy,13489319,85288.0,157177.0,180.0,12296018.0,53349.0,1036124.0,502.0,223663.0,2606.0,193352508.0,3205936.0,60310783.0,Europe,4.0,384.0,0.0,1414.0,3.0,17180.0
Spain,11260040,9015.0,101416.0,71.0,10502784.0,48933.0,655840.0,682.0,240673.0,2168.0,471036328.0,10067988.0,46785545.0,Europe,4.0,461.0,0.0,193.0,2.0,14018.0
Argentina,8981155,5076.0,127295.0,38.0,8787789.0,4214.0,66071.0,761.0,195667.0,2773.0,34877407.0,759852.0,45900252.0,South America,5.0,361.0,1.0,111.0,0.8,1439.0
