"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent
World,486733516,1612999,6162003,4292,422030865.0,1257469.0,58540648.0,58373,62443.0,790.5,0,0,,All
China,147437,1629,4638,0,114636.0,1325.0,28163.0,62,102.0,3.0,160000000,111163,1439323776,Asia
USA,81740722,31133,1006445,681,65073099.0,188491.0,15661178.0,2140,244455.0,3010.0,982546778,2938419,334379423,North America
India,43024440,1225,521159,28,42489004.0,1594.0,14277.0,8944,30653.0,371.0,788556935,561808,1403606220,Asia
Brazil,29916334,33937,659570,276,28679560.0,61049.0,577204.0,8318,139024.0,3065.0,63776166,296374,215188013,South America
France,25445532,169024,142134,149,23166895.0,74654.0,2136503.0,1486,388334.0,2169.0,254106036,3878013,65524795,Europe
UK,21111457,69485,165187,213,18995883.0,46061.0,1950387.0,365,308168.0,2411.0,504238542,7360458,68506410,Europe
Germany,20970297,267367,129742,305,16319700.0,226800.0,4520855.0,2494,248906.0,1540.0,104701826,1242751,84250027,Europe
Russia,17823648,20145,368377,352,16788291.0,51085.0,666980.0,2300,122044.0,2522.0,273400000,1872047,146043329,Europe
Turkey,14846224,14993,97977,53,14515495.0,18856.0,232752.0,975,172796.0,1140.0,153504955,1786650,85917731,Asia
Italy,14569159,78790,159224,170,13125950.0,55303.0,1283985.0,481,241583.0,2640.0,200421282,3323342,60307153,Europe
S. Korea,12774956,424528,15855,432,,,,1301,248802.0,309.0,15804065,307796,51345948,Asia
Spain,11508309,0,102392,0,10875306.0,0.0,530611.0,492,245976.0,2189.0,471036328,10067829,46786284,Europe
Vietnam,9472254,85765,42454,41,7268531.0,114685.0,2161269.0,3635,95813.0,429.0,84217005,851863,98862150,Asia
Argentina,9035127,2965,127997,27,8856717.0,2072.0,50413.0,541,196770.0,2788.0,35371141,770324,45917233,South America
Netherlands,7833807,27783,21961,35,6339700.0,28836.0,1472146.0,140,455432.0,1277.0,21107399,1227115,17200832,Europe
Iran,7159733,2987,140158,49,6868435.0,5137.0,151140.0,1551,83386.0,1632.0,49358909,574857,85862918,Asia
Japan,6452108,41473,27913,82,6008253.0,40292.0,415942.0,655,51287.0,222.0,43110998,342687,125802882,Asia
Colombia,6084551,311,139607,12,5917586.0,252.0,27358.0,342,117403.0,2694.0,33899469,654098,51826308,South America
