Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCases1Mpop,TotDeaths1Mpop,TotalTests,Tests1Mpop,Population
World,450008909,+499960,6036400,+837,384257844,+381077,59714665,69518,57732,774.4,,,
USA,81012955,,987615 ,,55215670,,24809670,5421,242363,2955,960060830,2872172,334262970 
India,42975883,,515386 ,,42413566,,46931,8944,30636,367,775208471,552619,1402791333 
Brazil,29144964,,652936 ,,27344949,,1147079,8318,135497,3036,63776166,296499,215097329 
France,23164872,,139618 ,,21836672,,1188582,2484,353575,2131,246629975,3764416,65516138 
UK,19307014,,162359 ,,18086708,,1057947,268,281916,2371,487512832,7118532,68485019 
Russia,17081394,,357601 ,,14802351,,1921442,2300,116964,2449,273400000,1872095,146039580 
Germany,16144363,,125299 ,,12753700,+228700,3265364,2494,191661,1488,104701826,1242988,84233966 
Turkey,14425638,,95811 ,,13882425,,447402,975,168007,1116,146830957,1710057,85863211 
Italy,13109527,,156201 ,,11941805,,1011521,592,217360,2590,190499871,3158548,60312476 
Spain,11159574,,100859 ,,10174079,,884636,773,238528,2156,471036328,10068063,46785199 
Argentina,8949362,,126901 ,,8749376,,73085,961,195008,2765,34590190,753725,45892328 
Iran,7102159,,138260 ,,6747070,,216829,3428,82777,1611,47884518,558106,85798298 
Netherlands,6837874,,21624 ,,5052321,,1763929,163,397584,1257,21107399,1227277,17198560 
Colombia,6073416,,139154 ,,5903279,,30983,342,117262,2687,33400734,644880,51793727 
Indonesia,5800253,,150831 ,,5226530,,422892,2771,20836,542,87959504,315968,278381167 
Poland,5760498,,112768 ,,5142672,,505058,605,152487,2985,34203025,905393,37776979 
Mexico,5575608,+8939,320166 ,+265,4863376,+9497,392066,4798,42494,2440,15265608,116347,131207785 
Japan,5483524,+49416,25281 ,+232,4849692,+65044,608551,1321,43580,201,40275604,320090,125826052 
S. Korea,5212118,+342427,9440 ,+158,969524,,4233154,1087,101515,184,15804065,307812,51343305 
Ukraine,4879339,,106739 ,,N/A,N/A,N/A,177,112707,2466,19521252,450916,43292397 
Vietnam,4776873,,40977 ,,2789342,,1946554,4258,48344,415,80574910,815457,98809559 
South Africa,3686556,,99625 ,,3569441,,17490,546,60870,1645,23285855,384481,60564416 
Israel,3684810,,10322 ,,3625478,,49010,419,395112,1107,41373364,4436346,9326000 
Malaysia,3680953,,33384 ,,3340889,,306680,373,111334,1010,51052539,1544128,33062374 
Philippines,3668710,,57072 ,,3563771,,47867,289,32747,509,28403191,253531,112030249 
Czechia,3653041,+10484,39032 ,+17,3536662,+4171,77347,153,340060,3633,52943126,4928447,10742355 
